Teks Berita,Label,Sumber
"[SALAH] Gibran Minta MBG Dihentikan Usai Jenguk...
Faktanya, Gibran hanya meminta kepada orang...",Hoax,TurnBackHoax
[SALAH] Gibran Minta MBG Dihentikan Usai Jenguk...,Hoax,TurnBackHoax
"[PENIPUAN] Kontak “Pendaftaran Dana Bantuan” dari Menkeu...
Audio dari video yang beredar adalah...",Hoax,TurnBackHoax
[PENIPUAN] Kontak “Pendaftaran Dana Bantuan” dari Menkeu...,Hoax,TurnBackHoax
"[SALAH] Menkeu Suahasil Terlibat Korupsi Ratusan Triliun...
Konten yang beredar adalah hasil manipulasi...",Hoax,TurnBackHoax
[SALAH] Menkeu Suahasil Terlibat Korupsi Ratusan Triliun...,Hoax,TurnBackHoax
"[PENIPUAN] Foto Rekrutmen Pegawai Koperasi Merah Putih
Faktanya, rekrutmen pegawai Koperasi Desa Merah...",Hoax,TurnBackHoax
[PENIPUAN] Foto Rekrutmen Pegawai Koperasi Merah Putih,Hoax,TurnBackHoax
"[SALAH] Ada Kebijakan Razia Kendaraan dari Rumah...
Faktanya, tidak ditemukan informasi kredibel yang...",Hoax,TurnBackHoax
[SALAH] Ada Kebijakan Razia Kendaraan dari Rumah...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Program Bantuan Lansia
Unggahan berisi tautan “pendaftaran program bantuan...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Program Bantuan Lansia,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Cek Kesehatan Gratis
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Cek Kesehatan Gratis,Hoax,TurnBackHoax
"[SALAH] Ojol Dilarang Beli Pertalite
Faktanya, Bahlil memang pernah menyatakan demikian,...",Hoax,TurnBackHoax
[SALAH] Ojol Dilarang Beli Pertalite,Hoax,TurnBackHoax
"[SALAH] Malaysia Laporkan Indonesia ke PBB soal...
Faktanya, Malaysia tidak melaporkan Indonesia ke...",Hoax,TurnBackHoax
[SALAH] Malaysia Laporkan Indonesia ke PBB soal...,Hoax,TurnBackHoax
"[SALAH] Video ""Laut Merak Kering Imbas Erupsi...
Konteks asli dokumentasi adalah momen air...",Hoax,TurnBackHoax
"[SALAH] Video ""Laut Merak Kering Imbas Erupsi...",Hoax,TurnBackHoax
"[SALAH] Pembangunan IKN Dihentikan Sementara, Dana Dialihkan...
Faktanya, pembangunan IKN hanya pernah dihentikan...",Hoax,TurnBackHoax
"[SALAH] Pembangunan IKN Dihentikan Sementara, Dana Dialihkan...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Lowongan Kerja Elabram Systems
Faktanya, tautan pendaftaran tidak mengarah ke...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Lowongan Kerja Elabram Systems,Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Aksi Pembakaran Gudang MBG di...
Konteks asli dokumentasi adalah momen aksi...",Hoax,TurnBackHoax
"[SALAH] Dokumentasi ""Aksi Pembakaran Gudang MBG di...",Hoax,TurnBackHoax
"[SALAH] Toko Harian Dipaksa Tutup karena Dekat...
Faktanya, video yang dibagikan adalah video...",Hoax,TurnBackHoax
[SALAH] Toko Harian Dipaksa Tutup karena Dekat...,Hoax,TurnBackHoax
"[SALAH] Gibran Sebut Tidak Tahu Kasus Keracunan...
Faktanya, tidak ditemukan pemberitaan kredibel yang...",Hoax,TurnBackHoax
[SALAH] Gibran Sebut Tidak Tahu Kasus Keracunan...,Hoax,TurnBackHoax
"[SALAH] Kota Malang Sepakat Hentikan MBG
Faktanya, Wali Kota Malang memastikan program...",Hoax,TurnBackHoax
[SALAH] Kota Malang Sepakat Hentikan MBG,Hoax,TurnBackHoax
"[PENIPUAN] Lowongan Kerja Cosmos Indonesia
Faktanya, tautan tidak mengarah ke laman...",Hoax,TurnBackHoax
[PENIPUAN] Lowongan Kerja Cosmos Indonesia,Hoax,TurnBackHoax
"[SALAH] Dokumentasi “Malaysia Kirim Pesawat, Padamkan Karhutla...
Konteks asli dokumentasi tersebut adalah momen...",Hoax,TurnBackHoax
"[SALAH] Dokumentasi “Malaysia Kirim Pesawat, Padamkan Karhutla...",Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Bansos Digital
Unggahan berisi tautan “pendaftaran bansos digital”...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Bansos Digital,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Tunjangan Lansia 2026
Faktanya, konten merupakan hasil rekayasa AI,...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Tunjangan Lansia 2026,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Pendaftaran Lowongan Kerja Puskesmas
Faktanya, pendaftaran lowongan kerja dan proses...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Pendaftaran Lowongan Kerja Puskesmas,Hoax,TurnBackHoax
"[PENIPUAN] Email Rekrutmen Indonesia Weda Bay Industrial...
Faktanya, proses rekrutmen hanya dilakukan melalui...",Hoax,TurnBackHoax
[PENIPUAN] Email Rekrutmen Indonesia Weda Bay Industrial...,Hoax,TurnBackHoax
"[PENIPUAN] Tautan Lowongan Kerja Cap Lang
Faktanya, tautan tersebut bukan saluran resmi...",Hoax,TurnBackHoax
[PENIPUAN] Tautan Lowongan Kerja Cap Lang,Hoax,TurnBackHoax
"[PENIPUAN] Informasi ""Pendaftaran Dana Pensiunan"" dari Mahfud...
Faktanya, konten yang beredar adalah hasil...",Hoax,TurnBackHoax
"[PENIPUAN] Informasi ""Pendaftaran Dana Pensiunan"" dari Mahfud...",Hoax,TurnBackHoax
